state,state_abbr,state_code,region,diesel_padd,gasoline_padd,lpg_wholesale_padd,lpg_residential_padd,other_padd
NORTH CAROLINA,NC,37,ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,NORTH CAROLINA,LOWER ATLANTIC,NORTH CAROLINA
NORTH DAKOTA,ND,38,PLAINS,MIDWEST,MIDWEST,NORTH DAKOTA,MIDWEST,NORTH DAKOTA
OHIO,OH,39,MIDWEST,MIDWEST,OHIO,OHIO,MIDWEST,OHIO
OKLAHOMA,OK,40,PLAINS,MIDWEST,MIDWEST,OKLAHOMA,MIDWEST,MIDWEST
OREGON,OR,41,WEST,WEST COAST EXCEPT CALIFORNIA,WEST COAST,US,US,US
PENNSYLVANIA,PA,42,ATLANTIC,CENTRAL ATLANTIC,CENTRAL ATLANTIC,PENNSYLVANIA,CENTRAL ATLANTIC,PENNSYLVANIA
RHODE ISLAND,RI,44,ATLANTIC,NEW ENGLAND,NEW ENGLAND,EAST COAST,NEW ENGLAND,RHODE ISLAND
SOUTH CAROLINA,SC,45,SOUTH,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC
SOUTH DAKOTA,SD,46,PLAINS,MIDWEST,MIDWEST,SOUTH DAKOTA,MIDWEST,SOUTH DAKOTA
TENNESSEE,TN,47,ATLANTIC,MIDWEST,MIDWEST,MIDWEST,MIDWEST,MIDWEST
TEXAS,TX,48,PLAINS,GULF COAST,TEXAS,TEXAS,US,US
UTAH,UT,49,WEST,ROCKY MOUNTAIN,ROCKY MOUNTAIN,ROCKY MOUNTAIN,US,US
VERMONT,VT,50,ATLANTIC,NEW ENGLAND,NEW ENGLAND,EAST COAST,NEW ENGLAND,VERMONT
VIRGINIA,VA,51,ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,VIRGINIA,LOWER ATLANTIC,VIRGINIA
WASHINGTON,WA,53,WEST,WEST COAST EXCEPT CALIFORNIA,WASHINGTON,US,US,US
WEST VIRGINIA,WV,54,ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC,LOWER ATLANTIC
WISCONSIN,WI,55,MIDWEST,MIDWEST,MIDWEST,WISCONSIN,MIDWEST,WISCONSIN
WYOMING,WY,56,WEST,ROCKY MOUNTAIN,ROCKY MOUNTAIN,ROCKY MOUNTAIN,US,US
